event_id,country,date,event,category_en,category_zh
40,"Japan","2005-04","Meeting on sidelines of Asia-Africa Summit in Jakarta","Multilateral / third-party meeting","多边/第三方会晤"
41,"Japan","2011-05","Official visit to Japan for bilateral talks","High-level visit","高层互访"
42,"Japan","2011-11","Meeting on sidelines of APEC Summit in Honolulu","Multilateral / third-party meeting","多边/第三方会晤"
43,"Japan","2014-07","Japan allows collective self-defense","Policy shift / domestic politics","政策转向/国内政治"
44,"Japan","2016-11","Meeting on sidelines of APEC Summit in Lima","Multilateral / third-party meeting","多边/第三方会晤"
45,"Japan","2018-10","Official visit to China for bilateral summit","High-level visit","高层互访"
46,"Japan","2021-04","Japan approves Fukushima water release","Diplomatic protest / friction","外交抗议/摩擦"
47,"Malaysia","2004-05","China-Malaysia Joint Communique on strategic cooperation","Strategic partnership upgrade","战略伙伴关系提升"
48,"Malaysia","2005-12","Official visit to Malaysia by Chinese Premier Wen Jiabao","High-level visit","高层互访"
49,"Malaysia","2013-10","State visit to Malaysia by Chinese President Xi Jinping","High-level visit","高层互访"
50,"Malaysia","2014-03","Malaysia Airlines Flight MH370 disappearance","Pandemic / disaster shock","疫情/灾害冲击"
51,"Malaysia","2018-07","Malaysia suspends China-backed East Coast Rail Link project","Diplomatic protest / friction","外交抗议/摩擦"
52,"Malaysia","2020-02","Xi-Mahathir phone call on COVID-19 cooperation","Remote talk / virtual meeting","远程通话/视频会晤"
53,"Malaysia","2020-04","Chinese survey ship Haiyang Dizhi 8 tags Malaysian drillship West Capella in South China Sea","Sovereignty dispute","主权纠纷"
54,"Malaysia","2024-06","Joint Statement on Deepening Comprehensive Strategic Partnership towards Community with Shared Future","Strategic partnership upgrade","战略伙伴关系提升"
55,"Malaysia","2025-04","Joint Statement on High-level Strategic China-Malaysia Community with Shared Future","Strategic partnership upgrade","战略伙伴关系提升"
56,"Mexico","2007-02","Mexico requests WTO consultations on Chinese industrial subsidy programs","Diplomatic protest / friction","外交抗议/摩擦"
57,"Mexico","2013-04","Pena Nieto visits China and attends Boao Forum","High-level visit","高层互访"
58,"Mexico","2017-09","Xi Jinping meets Pena Nieto on sidelines of BRICS Plus dialogue in Xiamen","Multilateral / third-party meeting","多边/第三方会晤"
59,"Mexico","2022-04","Mexico amends Mining Law to nationalize lithium, affecting Ganfeng concessions","Policy shift / domestic politics","政策转向/国内政治"
60,"Netherlands","2004-12","Official visit to the Netherlands","High-level visit","高层互访"
61,"Netherlands","2018-10","Official visit to the Netherlands","High-level visit","高层互访"
62,"Philippines","2007-09","State visit to China and attendance at the 2007 Summer Davos","High-level visit","高层互访"
63,"Philippines","2009-03","Philippines signs Republic Act 9522 baselines law; China protests","Sovereignty dispute","主权纠纷"
64,"Russia","2012-07","Russian coast guard fires on Chinese fishing vessel","Detention / judicial dispute","人员扣押/司法争议"
65,"Russia","2018-06","State visit to China","High-level visit","高层互访"
66,"Saudi Arabia","2008-05","Saudi Arabia donates over US$60 million for Wenchuan earthquake relief","Pandemic / crisis aid","疫情/危机援助"
67,"Saudi Arabia","2015-09","Mina Hajj stampede kills Chinese pilgrims","Pandemic / disaster shock","疫情/灾害冲击"
68,"Saudi Arabia","2019-09","Abqaiq-Khurais attack disrupts Saudi oil supply","Security threat","安全威胁"
69,"Saudi Arabia","2020-03","COVID-19 pandemic and oil price war slash China oil demand","Pandemic / disaster shock","疫情/灾害冲击"
70,"Saudi Arabia","2023-06","Saudi Aramco acquires 10% stake in Rongsheng Petrochemical","Economic win-win cooperation","经贸互利合作"
71,"Singapore","2016-11","Singapore military vehicles detained in Hong Kong","Detention / judicial dispute","人员扣押/司法争议"
72,"Singapore","2017-08","China-Singapore Chongqing Connectivity Initiative Southern Transport Corridor launched","Economic win-win cooperation","经贸互利合作"
73,"South Korea","2006-10","State visit to China","High-level visit","高层互访"
74,"South Korea","2010-11","Yeonpyeong Island shelling","Security threat","安全威胁"
75,"South Korea","2017-10","THAAD 'Three Noes' and bilateral relations normalization","Diplomatic protest / friction","外交抗议/摩擦"
76,"South Korea","2023-08","US-Japan-South Korea Camp David summit criticizes China","Negative strategic positioning","战略定位负面"
77,"South Korea","2025-02","NPC Chairman Zhao Leji meets visiting Korean National Assembly Speaker Woo Won-shik","High-level visit","高层互访"
78,"Spain","2007-06","State visit to China","High-level visit","高层互访"
79,"Thailand","2013-10","Chinese Premier Li Keqiang official visit to Thailand","High-level visit","高层互访"
80,"Thailand","2017-04","Thailand approves purchase of Chinese S26T submarine","Military / security cooperation","军事安全合作"
81,"Thailand","2021-02","First batch of China's Sinovac COVID-19 vaccines arrives in Thailand","Pandemic / crisis aid","疫情/危机援助"
82,"Thailand","2023-10","Thai Prime Minister Srettha Thavisin official visit to China and Belt and Road Forum","High-level visit","高层互访"
83,"Thailand","2025-02","50th anniversary joint statement on China-Thailand community with shared future","Strategic partnership upgrade","战略伙伴关系提升"
84,"United Arab Emirates","2017-12","China-UAE comprehensive mutual visa exemption arrangement reached","Cultural / people-to-people cooperation","人文交流合作"
85,"United Arab Emirates","2018-03","CNPC acquires 10% stakes in two Abu Dhabi offshore concessions","Economic win-win cooperation","经贸互利合作"
86,"United Arab Emirates","2020-06","Sinopharm COVID-19 vaccine phase 3 clinical trial launched in UAE","Pandemic / crisis aid","疫情/危机援助"
87,"United Arab Emirates","2023-07","Falcon Shield-2023 China-UAE air force joint training","Military / security cooperation","军事安全合作"
88,"United Arab Emirates","2024-11","40th anniversary of China-UAE diplomatic relations","Cultural / people-to-people cooperation","人文交流合作"
89,"United Kingdom","2013-06","Bank of England and PBOC sign sterling/RMB currency swap line","Economic win-win cooperation","经贸互利合作"
90,"United Kingdom","2019-06","Meeting on sidelines of G20 summit in Osaka","Multilateral / third-party meeting","多边/第三方会晤"
91,"United Kingdom","2021-03","UK sanctions Chinese officials over Xinjiang; China retaliates","Diplomatic protest / friction","外交抗议/摩擦"
92,"United Kingdom","2022-11","UK buys out CGN from Sizewell C nuclear project","Diplomatic protest / friction","外交抗议/摩擦"
93,"United States","2018-04","US bans ZTE from tech exports","Tech control / export restriction","科技管制/出口限制"
94,"United States","2018-07","Trade War Begins","Economic sanction / tariff barrier","经贸制裁/关税壁垒"
95,"United States","2018-12","Huawei CFO Meng Wanzhou arrested","Detention / judicial dispute","人员扣押/司法争议"
96,"United States","2022-08","Pelosi visits Taiwan","Sovereignty dispute","主权纠纷"
97,"United States","2022-11","Bilateral meeting on sidelines of G20 Summit","Multilateral / third-party meeting","多边/第三方会晤"
98,"United States","2025-06","Xi-Trump phone call","Remote talk / virtual meeting","远程通话/视频会晤"
99,"Vietnam","2014-11","Bilateral meeting on sidelines of APEC summit","Multilateral / third-party meeting","多边/第三方会晤"
100,"Vietnam","2019-04","Bilateral meeting on sidelines of Belt and Road Forum","Multilateral / third-party meeting","多边/第三方会晤"
