"country_en","country_cn","event_date","event_name","event_type_original","event_category","event_category_en","impact","visit_level","visit_direction","visitor","host","location","source"
"Australia","澳大利亚","2009-11","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Hu Jintao","Australian Prime Minister Kevin Rudd","Singapore","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2011-04","Official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Australian Prime Minister Julia Gillard","Chinese Premier Wen Jiabao","Beijing","https://china.embassy.gov.au/bjng/mrpm.html"
"Australia","澳大利亚","2012-09","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Hu Jintao","Australian Prime Minister Julia Gillard","Vladivostok","https://www.apec.org/Meeting-Papers/Leaders-Declarations/2012/2012_aelm"
"Australia","澳大利亚","2013-04","Official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Australian Prime Minister Julia Gillard","Chinese President Xi Jinping","Beijing","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2013-10","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Australian Prime Minister Tony Abbott","Bali","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2014-11","State visit to Australia","leader_visit","高层互访","High-level visit","neutral","state_head","china_to_partner","Chinese President Xi Jinping","Australian Prime Minister Tony Abbott","Canberra","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2015-06","China-Australia FTA","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://china.embassy.gov.au/bjng/150617FTA.html"
"Australia","澳大利亚","2015-12","ChAFTA enters into force","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://china.embassy.gov.au/bjng/150617FTA.html"
"Australia","澳大利亚","2016-04","Official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Australian Prime Minister Malcolm Turnbull","Chinese Premier Li Keqiang","Beijing","https://www.chinadaily.com.cn/china/2016-04/15/content_24554958.htm"
"Australia","澳大利亚","2017-03","Official visit to Australia","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Li Keqiang","Australian Prime Minister Malcolm Turnbull","Canberra","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2017-12","Foreign Interference Laws","diplomatic","政策转向/国内政治","Policy shift / domestic politics","negative","","","","","","https://apnews.com/international-general-news-2417bc241eae40a9b9715ba68c51dd54"
"Australia","澳大利亚","2018-08","Australia bans Huawei from 5G","policy","科技管制/出口限制","Tech control / export restriction","negative","","","","","","https://apnews.com/general-news-1419a86b429248a08ac6aece6d7684f0"
"Australia","澳大利亚","2018-11","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Australian Prime Minister Scott Morrison","Port Moresby","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2020-04","Australia calls for COVID inquiry","policy","外交抗议/摩擦","Diplomatic protest / friction","negative","","","","","","https://apnews.com/article/australia-china-prison-play-cheng-lei-97af789380e58d775ee4fddee46898cb"
"Australia","澳大利亚","2020-05","China imposes barley tariffs","economic","经贸制裁/关税壁垒","Economic sanction / tariff barrier","negative","","","","","","https://apnews.com/article/australia-barley-trade-china-60238c375957b513e6eecf7b588a289c"
"Australia","澳大利亚","2021-09","AUKUS security pact announced","military","安全威胁","Security threat","negative","","","","","","https://apnews.com/article/business-france-paris-australia-antony-blinken-e319211528c416f6f4418089abbd73dc"
"Australia","澳大利亚","2022-11","Bilateral meeting on sidelines of G20 summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Australian Prime Minister Anthony Albanese","Bali","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2023-08","China lifts barley tariffs","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.cnbc.com/2023/08/04/china-lifts-anti-dumping-tariffs-on-australian-barley-after-three-years.html"
"Australia","澳大利亚","2023-11","Bilateral meeting on sidelines of APEC summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Australian Prime Minister Anthony Albanese","San Francisco","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2024-03","China lifts wine tariffs","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://apnews.com/article/australia-wine-china-tariffs-penalties-ac155e732d4b882dce4f1663a01ae4c4"
"Australia","澳大利亚","2024-06","Official visit to Australia","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Li Qiang","Australian Prime Minister Anthony Albanese","Canberra","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2024-11","Xi-Albanese bilateral meeting on sidelines of G20 summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","","","","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Australia","澳大利亚","2025-07","Albanese official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","","","","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/dyz_681240/1206_681242/sbgx_681246/"
"Belgium","比利时","2002-03","Prime Minister Verhofstadt visits China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Guy Verhofstadt","Chinese Premier Zhu Rongji","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2004-11","Crown Prince Philippe visits China","leader_visit","高层互访","High-level visit","neutral","state_head","partner_to_china","Crown Prince Philippe","Chinese President Hu Jintao","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2005-06","Belgium-Luxembourg Economic Union and China sign BIT","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://edit.wti.org/document/show/b93138f7-3b8b-4859-a9ca-aee064e40516"
"Belgium","比利时","2007-06","Crown Prince Philippe visits China","leader_visit","高层互访","High-level visit","neutral","state_head","partner_to_china","Crown Prince Philippe","Chinese President Hu Jintao","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2008-05","Belgium provides emergency aid after Wenchuan earthquake","diplomatic","疫情/危机援助","Pandemic / crisis aid","positive","","","","","","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2008-08","PM Leterme attends Beijing Olympics closing ceremony","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","government_head","third_party_meeting","Yves Leterme","","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2008-10","PM Leterme attends 7th ASEM Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","government_head","third_party_meeting","Yves Leterme","","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2010-05","PM Leterme visits Shanghai World Expo","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","government_head","partner_to_china","Yves Leterme","","Shanghai","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2010-06","Crown Prince Philippe visits China","leader_visit","高层互访","High-level visit","neutral","state_head","partner_to_china","Crown Prince Philippe","Chinese President Hu Jintao","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2011-10","Crown Prince Philippe visits China","leader_visit","高层互访","High-level visit","neutral","state_head","partner_to_china","Crown Prince Philippe","Chinese Vice President Xi Jinping","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2013-09","PM Di Rupo attends Summer Davos in Dalian","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","government_head","partner_to_china","Elio Di Rupo","","Dalian","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2014-03","President Xi Jinping pays state visit to Belgium","leader_visit","高层互访","High-level visit","positive","state_head","china_to_partner","Chinese President Xi Jinping","King Philippe","Brussels","https://christchurch.china-consulate.gov.cn/eng/zgxw/201404/t20140401_84170.htm"
"Belgium","比利时","2014-04","China and Belgium establish all-round friendly cooperative partnership","strategic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_678940/xgxw_678946/201404/t20140401_9331674.shtml"
"Belgium","比利时","2014-04","China-Belgium industrial investment fund agreement signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://treaty.mfa.gov.cn/tykfiles/20180718/1531876882952.pdf"
"Belgium","比利时","2015-06","King Philippe pays state visit to China","leader_visit","高层互访","High-level visit","positive","state_head","partner_to_china","King Philippe","Chinese President Xi Jinping","Beijing","https://www.mfa.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/3278_664444/202406/t20240611_11419838.html"
"Belgium","比利时","2016-10","PM Michel visits China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Charles Michel","Chinese President Xi Jinping","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2017-06","Premier Li Keqiang visits Belgium","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Li Keqiang","King Philippe / PM Michel","Brussels","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2018-10","Premier Li Keqiang pays working visit to Belgium","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Li Keqiang","PM Michel","Brussels","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2019-11","Princess Astrid leads economic mission to China","leader_visit","高层互访","High-level visit","positive","state_head","partner_to_china","Princess Astrid","","Beijing/Shanghai","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2020-04","Xi Jinping and King Philippe exchange messages on COVID-19 cooperation","leader_visit","疫情/危机援助","Pandemic / crisis aid","positive","state_head","remote_talk","Chinese President Xi Jinping","King Philippe","","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2021-10","50th anniversary of China-Belgium diplomatic ties","diplomatic","人文交流合作","Cultural / people-to-people cooperation","positive","","","","","","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3150_664460/3152_664464/202110/t20211026_10069917.html"
"Belgium","比利时","2021-12","Li Keqiang holds video meeting with PM De Croo","leader_visit","远程通话/视频会晤","Remote talk / virtual meeting","neutral","government_head","remote_talk","Chinese Premier Li Keqiang","Alexander De Croo","","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2023-02","PM De Croo meets Wang Yi at Munich Security Conference","leader_visit","高层互访","High-level visit","neutral","government_head","third_party_meeting","Alexander De Croo","Wang Yi","Munich","https://www.fmprc.gov.cn/eng/gjhdq_665435/3265_665445/3276_664440/"
"Belgium","比利时","2024-01","PM De Croo pays official visit to China","leader_visit","高层互访","High-level visit","positive","government_head","partner_to_china","Alexander De Croo","Chinese President Xi Jinping","Beijing","https://us.china-embassy.gov.cn/eng/zgyw/202401/t20240128_11234623.htm"
"Belgium","比利时","2024-06","Vice Premier Ding Xuexiang meets PM De Croo in Brussels","leader_visit","高层互访","High-level visit","neutral","government_head","third_party_meeting","Ding Xuexiang","Alexander De Croo","Brussels","https://www.chinatoday.com.cn/ctenglish/2018/zdtj/202406/t20240620_800369298.html"
"Belgium","比利时","2025-07","Wang Yi meets Belgian PM De Wever and FM Prevot","leader_visit","高层互访","High-level visit","neutral","government_head","third_party_meeting","Wang Yi","Bart De Wever","Brussels","https://be.china-embassy.gov.cn/eng/rv/202507/t20250725_11676734.htm"
"Brazil","巴西","2004-05","COSBAN established","strategic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/nmz_680924/1206_680974/sbgx_680978/"
"Brazil","巴西","2004-05","Brazil recognizes China's market economy status","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","http://www.chinadaily.com.cn/english/doc/2004-05/25/content_333496.htm"
"Brazil","巴西","2004-05","State visit to China","leader_visit","高层互访","High-level visit","positive","state_head","partner_to_china","Brazilian President Luiz Inacio Lula da Silva","Chinese President Hu Jintao","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3474_665010/202406/t20240612_11428255.html"
"Brazil","巴西","2004-11","State visit to Brazil","leader_visit","高层互访","High-level visit","positive","state_head","china_to_partner","Chinese President Hu Jintao","Brazilian President Luiz Inacio Lula da Silva","Brasilia","https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3475_665012/202406/t20240612_11428312.html"
"Brazil","巴西","2009-04","China becomes Brazil's largest trading partner","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.chinadaily.com.cn/china/2009-05/19/content_7793015.htm"
"Brazil","巴西","2009-05","State visit to China","leader_visit","高层互访","High-level visit","positive","state_head","partner_to_china","Brazilian President Luiz Inacio Lula da Silva","Chinese President Hu Jintao","Beijing","https://www.fmprc.gov.cn/eng/gjhdq_665435/3447_665449/3473_665008/3474_665010/202406/t20240612_11428255.html"
"Brazil","巴西","2009-05","China-Brazil Joint Action Plan 2010-2014 signed","strategic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://lk.china-embassy.gov.cn/eng/zgxw/201004/t20100422_1403174.htm"
"Brazil","巴西","2010-04","State visit to Brazil","leader_visit","高层互访","High-level visit","positive","state_head","china_to_partner","Chinese President Hu Jintao","Brazilian President Luiz Inacio Lula da Silva","Brasilia","https://www.mfa.gov.cn/ziliao_674904/1179_674909/201004/t20100416_7947264.shtml"
"Brazil","巴西","2012-06","Official visit to Brazil","leader_visit","高层互访","High-level visit","positive","government_head","china_to_partner","Chinese Premier Wen Jiabao","Brazilian President Dilma Rousseff","Brasilia and Rio de Janeiro","https://www.chinadaily.com.cn/china/2012wenvisitla/2012-06/22/content_15518325.htm"
"Brazil","巴西","2012-06","Comprehensive strategic partnership established","strategic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://www.chinadaily.com.cn/china/2012wenvisitla/2012-06/22/content_15518325.htm"
"Brazil","巴西","2014-07","BRICS New Development Bank and Contingent Reserve Arrangement established","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","http://www.brics.utoronto.ca/docs/140715-treaty.html"
"Brazil","巴西","2014-07","State visit to Brazil","leader_visit","高层互访","High-level visit","positive","state_head","china_to_partner","Chinese President Xi Jinping","Brazilian President Dilma Rousseff","Brasilia and Fortaleza","https://www.mfa.gov.cn/eng/wjb/wjbz/jh/202405/t20240527_11312093.html"
"Brazil","巴西","2015-05","Official visit to Brazil","leader_visit","高层互访","High-level visit","positive","government_head","china_to_partner","Chinese Premier Li Keqiang","Brazilian President Dilma Rousseff","Brasilia","https://www.fmprc.gov.cn/mfa_eng/zy/jj/2015zt/lkqdbxglbyblzljxzsfw/202406/t20240606_11381365.html"
"Brazil","巴西","2017-09","Visa facilitation agreement enters into force","diplomatic","人文交流合作","Cultural / people-to-people cooperation","positive","","","","","","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/nmz_680924/1206_680974/sbgx_680978/"
"Brazil","巴西","2019-07","Brazil says no restrictions on Huawei 5G","diplomatic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://www.reuters.com/article/technology/brazil-will-not-bar-huawei-from-5g-network-vice-president-idUSKCN1T82BJ/"
"Brazil","巴西","2019-10","State visit to China","leader_visit","高层互访","High-level visit","neutral","state_head","partner_to_china","Brazilian President Jair Bolsonaro","Chinese President Xi Jinping","Beijing","https://www.mfa.gov.cn/web/gjhdq_676201/gj_676203/nmz_680924/1206_680974/xgxw_680980/201910/t20191025_9367880.shtml"
"Brazil","巴西","2023-03","China-Brazil local currency trade settlement agreement","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","http://english.scio.gov.cn/internationalexchanges/2023-03/31/content_85203377.htm"
"Brazil","巴西","2023-04","State visit to China","leader_visit","高层互访","High-level visit","positive","state_head","partner_to_china","Brazilian President Luiz Inacio Lula da Silva","Chinese President Xi Jinping","Beijing and Shanghai","https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/202304/t20230414_11059627.shtml"
"Brazil","巴西","2024-03","Brazil launches anti-dumping investigations on Chinese products","economic","经贸制裁/关税壁垒","Economic sanction / tariff barrier","negative","","","","","","https://chinaeconomicreview.com/brazil-launches-anti-dumping-probes-after-china-imports-soar/"
"Brazil","巴西","2024-11","State visit to Brazil","leader_visit","高层互访","High-level visit","positive","state_head","china_to_partner","Chinese President Xi Jinping","Brazilian President Luiz Inacio Lula da Silva","Brasilia and Rio de Janeiro","https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/202412/t20241218_11497520.shtml"
"Canada","加拿大","2003-12","Official visit to Canada","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Chinese Premier Wen Jiabao","Canadian Prime Minister Jean Chrétien","Ottawa, Canada","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2005-01","Canadian Prime Minister Paul Martin visits China","leader_visit","高层互访","High-level visit","positive","government_head","partner_to_china","Paul Martin","Chinese Premier Wen Jiabao","Beijing, China","https://www.chinadaily.com.cn/english/doc/2005-09/10/content_476741.htm"
"Canada","加拿大","2005-01","Canada-China energy cooperation and joint statement","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://ca.china-embassy.gov.cn/eng/zjwl/200501/t20050121_4664226.htm"
"Canada","加拿大","2005-09","State visit to Canada","leader_visit","高层互访","High-level visit","neutral","state_head","china_to_partner","Chinese President Hu Jintao","Canadian Prime Minister Paul Martin","Ottawa, Canada","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2005-09","Canada-China strategic partnership announced","strategic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://www.fmprc.gov.cn/mfa_eng/gjhdq_665435/3376_665447/3382_664830/3384_664834/202406/t20240612_11425203.html"
"Canada","加拿大","2009-05","China bans Canadian pork imports over H1N1; Canada protests","economic","疫情/灾害冲击","Pandemic / disaster shock","negative","","","","","","https://www.uscc.gov/sites/default/files/Research/September%202018%20Trade%20Bulletin.pdf"
"Canada","加拿大","2009-12","Official visit to China","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Canadian Prime Minister Stephen Harper","Chinese Premier Wen Jiabao","Beijing, China","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2010-06","State visit to Canada and attendance at G20 Summit","leader_visit","高层互访","High-level visit","neutral","state_head","china_to_partner","Chinese President Hu Jintao","Canadian Prime Minister Stephen Harper","Ottawa and Toronto, Canada","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2012-02","Canadian Prime Minister Stephen Harper's second visit to China","leader_visit","高层互访","High-level visit","positive","government_head","partner_to_china","Stephen Harper","Chinese Premier Wen Jiabao","Beijing, China","https://ca.china-embassy.gov.cn/eng./zjwl/201202/t20120208_4664557.htm"
"Canada","加拿大","2012-09","Canada-China FIPA signed","economic","经贸互利合作","Economic win-win cooperation","positive","","","","","","https://treaty.mfa.gov.cn/Treaty/web/detail1.jsp?objid=1531877002105"
"Canada","加拿大","2014-11","Bilateral meeting between President Xi Jinping and Prime Minister Stephen Harper on the sidelines of the G20 Brisbane Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Xi Jinping","Stephen Harper","Brisbane, Australia","https://www.canada.ca/en/news/archive/2014/11/canada-china-joint-list-outcomes-2014.html"
"Canada","加拿大","2015-11","Bilateral meeting on sidelines of G20 Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Canadian Prime Minister Justin Trudeau","Antalya, Turkey","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2016-09","Chinese Premier Li Keqiang's official visit to Canada","leader_visit","高层互访","High-level visit","neutral","government_head","china_to_partner","Li Keqiang","Justin Trudeau","Ottawa, Canada","https://www.chinadaily.com.cn/world/livisitcanadacuba/2016-09/22/content_26859455.htm"
"Canada","加拿大","2016-09","Prime Minister Justin Trudeau attends G20 Summit in Hangzhou and visits China","leader_visit","高层互访","High-level visit","positive","government_head","partner_to_china","Justin Trudeau","China","Hangzhou, China","https://ph.china-embassy.gov.cn/eng/chinew/201609/t20160902_1162255.htm"
"Canada","加拿大","2016-09","Official visit to China and attendance at G20 Hangzhou Summit","leader_visit","高层互访","High-level visit","neutral","government_head","partner_to_china","Canadian Prime Minister Justin Trudeau","Chinese Premier Li Keqiang","Beijing and Hangzhou, China","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2017-07","Bilateral meeting between President Xi Jinping and Prime Minister Justin Trudeau on the sidelines of the G20 Hamburg Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Xi Jinping","Justin Trudeau","Hamburg, Germany","https://www.mfa.gov.cn/eng/wjb/zzjg_663340/bmdyzs_664814/xwlb_664816/202406/t20240606_11401420.html"
"Canada","加拿大","2018-12","China detains Canadians Kovrig and Spavor ('Two Michaels')","diplomatic","人员扣押/司法争议","Detention / judicial dispute","negative","","","","","","https://international.canada.ca/en/global-affairs/corporate/transparency/briefing-documents/parliamentary-committee/2021-12-07-cw-pl-lp-cp"
"Canada","加拿大","2018-12","Meng Wanzhou arrested","sanctions","人员扣押/司法争议","Detention / judicial dispute","negative","","","","","","https://edition.cnn.com/2018/12/05/tech/huawei-cfo-arrested-canada"
"Canada","加拿大","2019-03","China suspends canola seed licences of Richardson and Viterra","economic","经贸制裁/关税壁垒","Economic sanction / tariff barrier","negative","","","","","","https://www.chinadaily.com.cn/a/202205/20/WS6286fe6da310fd2b29e5dfac.html"
"Canada","加拿大","2019-06","Bilateral meeting on sidelines of G20 Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Canadian Prime Minister Justin Trudeau","Osaka, Japan","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
"Canada","加拿大","2021-09","Meng Released / Michaels Freed","diplomatic","战略伙伴关系提升","Strategic partnership upgrade","positive","","","","","","https://www.theguardian.com/world/2021/sep/25/canadian-pm-trudeau-says-detained-citizens-michael-kovrig-and-michael-spavor-have-left-china"
"Canada","加拿大","2022-05","Canada bans Huawei and ZTE from 5G networks","sanctions","科技管制/出口限制","Tech control / export restriction","negative","","","","","","https://apnews.com/article/canada-china-relations-history-trudeau-carney-cb8ef612b27f9905e7bb5f0efaee7204"
"Canada","加拿大","2022-11","Bilateral meeting on sidelines of G20 Summit","leader_visit","多边/第三方会晤","Multilateral / third-party meeting","neutral","state_head","third_party_meeting","Chinese President Xi Jinping","Canadian Prime Minister Justin Trudeau","Bali, Indonesia","https://www.mfa.gov.cn/gjhdq_676201/gj_676203/bmz_679954/1206_680426/sbgx_680430/"
