国家英文名,国家中文名,实权职位中文,实权职位英文,领导人姓名英文,领导人姓名中文,任期开始,任期结束,备注
Malaysia,马来西亚,首相,Prime Minister,Abdullah Ahmad Badawi,巴达维,2003-10,2009-04,巫统/国民阵线
Malaysia,马来西亚,首相,Prime Minister,Najib Razak,纳吉布,2009-04,2018-05,巫统/国民阵线;1MDB丑闻败选
Malaysia,马来西亚,首相,Prime Minister,Mahathir Mohamad,马哈蒂尔,2018-05,2020-03,希望联盟;第二任期
Malaysia,马来西亚,首相,Prime Minister,Muhyiddin Yassin,穆希丁,2020-03,2021-08,土著团结党/国民联盟
Malaysia,马来西亚,首相,Prime Minister,Ismail Sabri Yaakob,伊斯迈沙比里,2021-08,2022-11,巫统/国民阵线
Malaysia,马来西亚,首相,Prime Minister,Anwar Ibrahim,安瓦尔,2022-11,2025-12,希望联盟/公正党
Singapore,新加坡,总理,Prime Minister,Goh Chok Tong,吴作栋,1990-11,2004-08,人民行动党
Singapore,新加坡,总理,Prime Minister,Lee Hsien Loong,李显龙,2004-08,2024-05,人民行动党;执政近20年
Singapore,新加坡,总理,Prime Minister,Lawrence Wong,黄循财,2024-05,2025-12,人民行动党;第四任总理
Russia,俄罗斯,总统,President,Vladimir Putin,普京,2000-05,2008-05,第一、二任期
Russia,俄罗斯,总统,President,Dmitry Medvedev,梅德韦杰夫,2008-05,2012-05,法制总统;普京任总理期间实际掌握最终决策权(双驾马车体制)
Russia,俄罗斯,总统,President,Vladimir Putin,普京,2012-05,2025-12,第三至五任期;2020年修宪允许续任至2036年
United Kingdom,英国,首相,Prime Minister,Tony Blair,布莱尔,1997-05,2007-06,工党;执政10年
United Kingdom,英国,首相,Prime Minister,Gordon Brown,布朗,2007-06,2010-05,工党
United Kingdom,英国,首相,Prime Minister,David Cameron,卡梅伦,2010-05,2016-07,保守党;脱欧公投后辞职
United Kingdom,英国,首相,Prime Minister,Theresa May,梅,2016-07,2019-07,保守党
United Kingdom,英国,首相,Prime Minister,Boris Johnson,约翰逊,2019-07,2022-09,保守党;派对门丑闻辞职
United Kingdom,英国,首相,Prime Minister,Liz Truss,特拉斯,2022-09,2022-10,保守党;任期仅49天
United Kingdom,英国,首相,Prime Minister,Rishi Sunak,苏纳克,2022-10,2024-07,保守党;2024年大选败于工党
United Kingdom,英国,首相,Prime Minister,Keir Starmer,斯塔默,2024-07,2025-12,工党;来源:gov.uk确认在任
Netherlands,荷兰,首相,Prime Minister,Wim Kok,科克,1994-08,2002-07,工党
Netherlands,荷兰,首相,Prime Minister,Jan Peter Balkenende,巴尔克嫩德,2002-07,2010-10,基督教民主联盟;连任四届
Netherlands,荷兰,首相,Prime Minister,Mark Rutte,吕特,2010-10,2024-07,自由民主人民党;执政近14年
Netherlands,荷兰,首相,Prime Minister,Dick Schoof,斯霍夫,2024-07,2025-12,无党派;PVV等右翼联盟推选(来源:government.nl)
Australia,澳大利亚,总理,Prime Minister,John Howard,霍华德,1996-03,2007-12,自由党;执政逾11年
Australia,澳大利亚,总理,Prime Minister,Kevin Rudd,陆克文,2007-12,2010-06,工党第一任期;党内政变罢免
Australia,澳大利亚,总理,Prime Minister,Julia Gillard,吉拉德,2010-06,2013-06,工党;首位女总理
Australia,澳大利亚,总理,Prime Minister,Kevin Rudd,陆克文,2013-06,2013-09,工党第二任期
Australia,澳大利亚,总理,Prime Minister,Tony Abbott,阿博特,2013-09,2015-09,自由党
Australia,澳大利亚,总理,Prime Minister,Malcolm Turnbull,特恩布尔,2015-09,2018-08,自由党
Australia,澳大利亚,总理,Prime Minister,Scott Morrison,莫里森,2018-08,2022-05,自由党
Australia,澳大利亚,总理,Prime Minister,Anthony Albanese,阿尔巴尼斯,2022-05,2025-12,工党;2025年联邦大选后继续执政(来源:pm.gov.au确认在任)
Italy,意大利,总理(部长会议主席),Prime Minister,Silvio Berlusconi,贝卢斯科尼,2001-06,2006-05,力量党;第二任期
Italy,意大利,总理(部长会议主席),Prime Minister,Romano Prodi,普罗迪,2006-05,2008-05,中左联盟
Italy,意大利,总理(部长会议主席),Prime Minister,Silvio Berlusconi,贝卢斯科尼,2008-05,2011-11,力量党;第三任期
Italy,意大利,总理(部长会议主席),Prime Minister,Mario Monti,蒙蒂,2011-11,2013-04,技术官僚政府
Italy,意大利,总理(部长会议主席),Prime Minister,Enrico Letta,莱塔,2013-04,2014-02,民主党
Italy,意大利,总理(部长会议主席),Prime Minister,Matteo Renzi,伦齐,2014-02,2016-12,民主党
Italy,意大利,总理(部长会议主席),Prime Minister,Paolo Gentiloni,真蒂洛尼,2016-12,2018-06,民主党
Italy,意大利,总理(部长会议主席),Prime Minister,Giuseppe Conte,孔特,2018-06,2021-02,无党派(五星运动+联盟/民主党)
Italy,意大利,总理(部长会议主席),Prime Minister,Mario Draghi,德拉吉,2021-02,2022-10,技术官僚政府
Italy,意大利,总理(部长会议主席),Prime Minister,Giorgia Meloni,梅洛尼,2022-10,2025-12,意大利兄弟党;首位女总理(来源:governo.it确认在任)
Thailand,泰国,总理,Prime Minister,Thaksin Shinawatra,他信,2001-02,2006-09,泰爱泰党;2006.9.19军事政变推翻
Thailand,泰国,军方领导人(政变),Coup Leader,Sonthi Boonyaratglin,颂提,2006-09,2006-10,政变后任国家管理改革委员会主席
Thailand,泰国,总理,Prime Minister,Surayud Chulanont,素拉育,2006-10,2008-01,军方任命总理
Thailand,泰国,总理,Prime Minister,Samak Sundaravej,沙马,2008-01,2008-09,人民力量党;违宪被解职
Thailand,泰国,总理,Prime Minister,Somchai Wongsawat,颂猜,2008-09,2008-12,人民力量党;宪法法院解散政党
Thailand,泰国,总理,Prime Minister,Abhisit Vejjajiva,阿披实,2008-12,2011-08,民主党;Chaovarat曾短暂代理(2008.12.2-17)
Thailand,泰国,总理,Prime Minister,Yingluck Shinawatra,英拉,2011-08,2014-04,为泰党;2014.5.7宪法法院解职
Thailand,泰国,代总理(宪法法院解职后),Acting PM,Niwatthamrong Boonsongpaisan,尼瓦塔隆,2014-05,2014-05,英拉解职后短暂代理(至5.22政变)
Thailand,泰国,军方领导人(政变)/总理,Coup Leader / PM,Prayut Chan-o-cha,巴育,2014-05,2023-08,2014.5.22政变;2014.8.24正式任总理
Thailand,泰国,总理,Prime Minister,Srettha Thavisin,赛塔,2023-08,2024-08,为泰党;宪法法院解职
Thailand,泰国,代总理,Acting PM,Phumtham Wechayachai,蓬探,2024-08,2024-08,赛塔解职后短暂代理
Thailand,泰国,总理,Prime Minister,Paetongtarn Shinawatra,佩通坦,2024-08,2025-12,为泰党;他信之女;最年轻总理
France,法国,总统,President,Jacques Chirac,希拉克,1995-05,2007-05,保卫共和联盟/人民运动联盟;连任两届
France,法国,总统,President,Nicolas Sarkozy,萨科齐,2007-05,2012-05,人民运动联盟
France,法国,总统,President,Francois Hollande,奥朗德,2012-05,2017-05,社会党;未寻求连任
France,法国,总统,President,Emmanuel Macron,马克龙,2017-05,2025-12,共和国前进党/复兴党;2017、2022当选(来源:elysee.fr确认在任)
Indonesia,印度尼西亚,总统,President,Megawati Sukarnoputri,梅加瓦蒂,2001-07,2004-10,Wahid遭弹劾后继任
Indonesia,印度尼西亚,总统,President,Susilo Bambang Yudhoyono,尤多约诺,2004-10,2014-10,首位直选总统;连任两届
Indonesia,印度尼西亚,总统,President,Joko Widodo (Jokowi),佐科,2014-10,2024-10,连任两届
Indonesia,印度尼西亚,总统,President,Prabowo Subianto,普拉博沃,2024-10,2025-12,
Canada,加拿大,总理,Prime Minister,Jean Chretien,克雷蒂安,1993-11,2003-12,自由党
Canada,加拿大,总理,Prime Minister,Paul Martin,马丁,2003-12,2006-02,自由党
Canada,加拿大,总理,Prime Minister,Stephen Harper,哈珀,2006-02,2015-11,保守党
Canada,加拿大,总理,Prime Minister,Justin Trudeau,特鲁多,2015-11,2025-03,自由党;2025.1宣布辞职;3月正式卸任
Canada,加拿大,总理,Prime Minister,Mark Carney,卡尼,2025-03,2025-12,自由党;接替Trudeau(来源:pm.gc.ca确认在任)
Philippines,菲律宾,总统,President,Gloria Macapagal Arroyo,阿罗约,2001-01,2010-06,EDSA II革命后继任;2004年正式当选
Philippines,菲律宾,总统,President,Benigno Aquino III,阿基诺三世,2010-06,2016-06,任期6年一届制
Philippines,菲律宾,总统,President,Rodrigo Duterte,杜特尔特,2016-06,2022-06,
Philippines,菲律宾,总统,President,Ferdinand Marcos Jr.,马科斯二世,2022-06,2025-12,
Saudi Arabia,沙特阿拉伯,国王(兼首相),King (and PM),Fahd bin Abdulaziz Al Saud,法赫德,1982-06,2005-08,1995年中风后由王储Abdullah实际摄政
Saudi Arabia,沙特阿拉伯,国王(兼首相),King (and PM),Abdullah bin Abdulaziz Al Saud,阿卜杜拉,2005-08,2015-01,1995年起即为实际执政者
Saudi Arabia,沙特阿拉伯,国王(兼首相),King (and PM),Salman bin Abdulaziz Al Saud,萨勒曼,2015-01,2017-06,2015年即位；2017年6月后王储MBS实际掌控日常政务与决策
Saudi Arabia,沙特阿拉伯,王储兼首相(实际执政者),Crown Prince and Prime Minister (de facto ruler),Mohammed bin Salman Al Saud,穆罕默德·本·萨勒曼(小萨勒曼),2017-06,2017-06,2015年即位；2017年6月后王储MBS实际掌控日常政务与决策
India,印度,总理,Prime Minister,Atal Bihari Vajpayee,瓦杰帕伊,1998-03,2004-05,印度人民党;NDA执政联盟
India,印度,总理,Prime Minister,Manmohan Singh,辛格,2004-05,2014-05,国民大会党;UPA执政联盟;连任两届
India,印度,总理,Prime Minister,Narendra Modi,莫迪,2014-05,2025-12,印度人民党;连任三届
Belgium,比利时,首相,Prime Minister,Guy Verhofstadt,伏思达,1999-07,2008-03,自由党;执政近9年
Belgium,比利时,首相,Prime Minister,Yves Leterme,莱特姆,2008-03,2008-12,第一任期
Belgium,比利时,首相,Prime Minister,Herman Van Rompuy,范龙佩,2008-12,2009-11,后出任首任欧洲理事会主席
Belgium,比利时,首相,Prime Minister,Yves Leterme,莱特姆,2009-11,2011-12,第二任期;2010年大选后比利时无政府541天(看守内阁)
Belgium,比利时,首相,Prime Minister,Elio Di Rupo,迪吕波,2011-12,2014-10,社会党
Belgium,比利时,首相,Prime Minister,Charles Michel,米歇尔,2014-10,2019-10,改革运动党
Belgium,比利时,首相,Prime Minister,Sophie Wilmès,维尔梅斯,2019-10,2020-10,首位女首相
Belgium,比利时,首相,Prime Minister,Alexander De Croo,德克罗,2020-10,2025-02,开放自民党
Belgium,比利时,首相,Prime Minister,Bart De Wever,德韦弗,2025-02,2025-12,新弗拉芒联盟党
Brazil,巴西,总统,President,Fernando Henrique Cardoso,卡多佐,1995-01,2003-01,社会民主党;连任两届
Brazil,巴西,总统,President,Luiz Inacio Lula da Silva,卢拉,2003-01,2011-01,劳工党;第一二任期
Brazil,巴西,总统,President,Dilma Rousseff,罗塞夫,2011-01,2016-05,劳工党;2016.5.12参议院弹劾停职
Brazil,巴西,代总统(弹劾代行),Acting President,Michel Temer,特梅尔,2016-05,2016-08,罗塞夫停职期间代行;8.31正式就任总统
Brazil,巴西,总统,President,Michel Temer,特梅尔,2016-08,2019-01,民主运动党
Brazil,巴西,总统,President,Jair Bolsonaro,博索纳罗,2019-01,2023-01,社会自由党/自由党
Brazil,巴西,总统,President,Luiz Inacio Lula da Silva,卢拉,2023-01,2025-12,劳工党;第三任期(来源:gov.br/planalto确认在任)
Mexico,墨西哥,总统,President,Vicente Fox,福克斯,2000-12,2006-11,国家行动党;结束PRI 71年执政
Mexico,墨西哥,总统,President,Felipe Calderon,卡尔德龙,2006-12,2012-11,国家行动党
Mexico,墨西哥,总统,President,Enrique Pena Nieto,培尼亚,2012-12,2018-11,革命制度党(PRI)
Mexico,墨西哥,总统,President,Andres Manuel Lopez Obrador (AMLO),洛佩斯,2018-12,2024-09,国家复兴运动党
Mexico,墨西哥,总统,President,Claudia Sheinbaum,欣鲍姆,2024-10,2025-12,国家复兴运动党;首位女总统
United Arab Emirates,阿联酋,总统(阿布扎比埃米尔),President (Ruler of Abu Dhabi),Sheikh Zayed bin Sultan Al Nahyan,扎耶德,1971-12,2004-11,国父;阿布扎比埃米尔兼任联邦总统
United Arab Emirates,阿联酋,总统(阿布扎比埃米尔),President (Ruler of Abu Dhabi),Sheikh Khalifa bin Zayed Al Nahyan,哈利法,2004-11,2022-05,2014年中风后实际权力由MbZ行使
United Arab Emirates,阿联酋,总统(阿布扎比埃米尔),President (Ruler of Abu Dhabi),Sheikh Mohamed bin Zayed Al Nahyan (MbZ),穆罕默德·本·扎耶德(MbZ),2022-05,2025-12,2014年起即为实际执政者;2022年正式继任
Iran,伊朗,总统,President,Mohammad Khatami,哈塔米,1997-08,2005-08,改革派总统;行政权受制于最高领袖
Iran,伊朗,总统,President,Mahmoud Ahmadinejad,艾哈迈迪内贾德,2005-08,2013-08,保守派总统;连任两届
Iran,伊朗,总统,President,Hassan Rouhani,鲁哈尼,2013-08,2021-08,温和派总统;推动伊核协议
Iran,伊朗,总统,President,Ebrahim Raisi,莱希,2021-08,2024-05,强硬派总统;2024.5.19直升机事故遇难
Iran,伊朗,代总统(总统遇难),Acting President,Mohammad Mokhber,穆赫贝尔,2024-05,2024-07,莱希遇难后依宪法任代总统(原第一副总统)
Iran,伊朗,总统,President,Masoud Pezeshkian,佩泽希齐扬,2024-07,2025-12,改革派总统
Spain,西班牙,首相(政府主席),Prime Minister,Jose Maria Aznar,阿斯纳尔,1996-05,2004-04,人民党;连任两届
Spain,西班牙,首相(政府主席),Prime Minister,Jose Luis Rodriguez Zapatero,萨帕特罗,2004-04,2011-12,工人社会党;连任两届
Spain,西班牙,首相(政府主席),Prime Minister,Mariano Rajoy,拉霍伊,2011-12,2018-06,人民党;因不信任案被罢免
Spain,西班牙,首相(政府主席),Prime Minister,Pedro Sanchez,桑切斯,2018-06,2025-12,工人社会党;2019/2023年组建联合政府
Vietnam,越南,越共中央总书记,General Secretary of CPV,Nong Duc Manh,农德孟,2001-04,2011-01,第九、十届中央委员会
Vietnam,越南,越共中央总书记,General Secretary of CPV,Nguyen Phu Trong,阮富仲,2011-01,2024-07,第十一至十三届;任内去世
Vietnam,越南,越共中央总书记,General Secretary of CPV,To Lam,苏林,2024-08,2025-12,阮富仲去世后接任
